Year,Month,Day,Hour,Minute,Speed,Direction
2019,4,15,16,0,9.05,315.9
2019,4,15,17,0,8.91,314.09
2019,4,15,18,0,8.35,314.03
2019,4,15,19,0,7.43,312.27
2019,4,15,20,0,7.04,308.66
2019,4,15,21,0,6.82,304.85
2019,4,15,22,0,7.66,326.73
2019,4,15,23,0,7.69,327.76
2019,4,16,0,0,7.13,325.86
2019,4,16,1,0,6.96,327.91
2019,4,16,2,0,6.45,330.26
2019,4,16,3,0,6.08,332.59
2019,4,16,4,0,5.37,335.82
2019,4,16,5,0,4.81,339.3
2019,4,16,6,0,4.78,340.43
2019,4,16,7,0,4.55,340.77
2019,4,16,8,0,4.24,344.98
2019,4,16,9,0,3.65,350.54
2019,4,16,10,0,2.33,350.13
2019,4,16,11,0,1.28,38.66
2019,4,16,12,0,1.43,114.78
2019,4,16,13,0,2.95,151.7
2019,4,16,14,0,4.43,161.57
2019,4,16,15,0,5.39,169.32
2019,4,16,16,0,6.3,178.18
2019,4,16,17,0,6.63,174.81
2019,4,16,18,0,6.08,170.54
2019,4,16,19,0,5.71,168.89
2019,4,16,20,0,5.61,168.69
2019,4,16,21,0,5.33,173.54
2019,4,16,22,0,5.1,181.12
2019,4,16,23,0,4.37,190.54
